,French,English
0,partie,part
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,demande,request
6,genre,kind
7,frère,brother
8,laisser,let
9,car,because
10,eux,them
11,ville,city
12,chaque,each
13,bébé,baby
14,longtemps,long time
15,heures,hours
16,vont,will
17,pendant,while
18,aucune,any
19,place,square
20,parle,speak
21,compris,understood
22,savais,knew
23,étaient,were
24,attention,Warning
25,voici,here is
26,pourrais,could
27,affaire,case
28,type,type
29,corps,body
30,endroit,place
31,yeux,eyes
32,perdu,lost
33,première,first
34,côté,side
35,vieux,old
36,matin,morning
37,venu,came
38,suite,after
39,venez,come
40,devant,in front of
41,vers,towards
42,minutes,minutes
43,demandé,request
44,chambre,bedroom
45,droit,law
46,aimerais,would like to
47,aujourd'hui,today
48,mari,husband
49,enfin,finally
50,espère,hope
51,parti,left
52,boulot,job
53,dirait,would say
54,donne,given
55,loin,far
56,croire,believe
57,chérie,sweetheart
58,gros,large
59,plutôt,rather
60,aura,will have
61,jouer,to play
62,bureau,office
